UserID,Name,Age,Gender,Profession,Yearly Income,Property Owner,Physical Activity,Gaming Devices,Video Game Genre,Gaming Motivation,Hours Played Daily,Monthly Gaming Purchases,Hours Sleep Daily,Mental Wellness Score,Importance Score,Productivity Loss,Satisfaction,Self Control,Addiction Level
10047,Leo Campbell,33,Male,Engineer,"$107,076 ",No,No,Nintendo,Horror,Boredom,10,276,6,27,17,69,30,53,60
10048,Hannah Parker,31,Other,Designer,"$128,668 ",Yes,No,Cell Phone,FPS,Stress Relief,10,194,6,3,4,26,85,43,19
10049,Leo Rivera,31,Male,Lawyer,"$133,917 ",No,No,Nintendo,FPS,Entertainment,10,50,8,84,80,3,4,81,9
10050,Natalie Stewart,32,Female,Doctor,"$91,247 ",Yes,No,PC,Survival,Stress Relief,8,413,8,93,89,66,87,35,8
10051,Gabriel Sanchez,29,Other,Student,"$102,298 ",No,No,Xbox,Survival,Escapism,7,363,11,76,53,56,54,36,99
10052,Andrew Collins,25,Other,Manager,"$105,631 ",No,Yes,Xbox,Strategy,Social Interaction,4,540,10,85,25,22,87,13,75
10053,Madison Rivera,27,Female,Doctor,"$95,145 ",Yes,No,Tablet,FPS,Competition,9,534,4,62,27,12,58,37,3
10054,Carter Young,25,Other,Developer,"$164,950 ",No,Yes,Cell Phone,Strategy,Loneliness,5,840,4,59,52,77,85,85,10
10055,Abigail Turnner,34,Other,Designer,"$190,691 ",No,No,Tablet,Horror,Escapism,7,22,10,98,33,88,21,91,99
10056,Luke Hall,29,Other,Nurse,"$70,019 ",Yes,No,Cell Phone,Survival,Relaxation,1,132,4,1,72,94,34,5,87
10057,Avery Martinez,34,Female,Designer,"$46,266 ",No,Yes,Tablet,MMORPG,Relaxation,4,583,9,74,92,29,21,97,27
10058,Emma Clark,34,Female,Designer,"$58,279 ",Yes,No,Nintendo,Horror,Loneliness,6,528,7,1,97,23,48,94,78
10059,Wyatt King,34,Male,Writer,"$179,104 ",No,No,Xbox,Horror,Social Interaction,11,664,9,76,46,66,16,77,92
10060,Samantha Allen,31,Other,Other,"$72,728 ",Yes,Yes,Xbox,Fighting,Social Interaction,11,700,4,41,59,36,88,35,52
10061,Isaac Scott,21,Male,Teacher,"$57,651 ",No,Yes,Cell Phone,RPG,Relaxation,3,74,5,90,31,3,73,6,85
10062,Victoria Johnson,25,Female,Nurse,"$187,187 ",No,Yes,Tablet,Racing,Entertainment,11,174,8,18,77,48,24,71,34
10063,Lincoin Campbell,34,Male,Doctor,"$147,992 ",Yes,Yes,Cell Phone,Racing,Relaxation,1,911,6,58,80,91,59,24,7
10064,Eleanor Harris,32,Female,Teacher,"$145,970 ",Yes,Yes,PlayStation,Sports,Competition,5,463,8,45,19,80,9,80,36
10065,Nathaniel Davis,22,Other,Teacher,"$187,288 ",Yes,Yes,Cell Phone,Horror,Habit,7,633,11,44,83,97,22,2,19
10066,Lily Green,27,Female,Manager,"$170,303 ",No,No,PlayStation,Sports,Stress Relief,7,979,7,16,21,70,27,12,28
10067,Oliver Baker,31,Male,Designer,"$180,067 ",Yes,No,Nintendo,FPS,Challenge,6,127,10,51,70,61,74,6,4
10068,Amelia Nelson,27,Female,Designer,"$15,700 ",No,No,Xbox,RPG,Relaxation,1,470,9,41,10,51,82,42,42
10069,John Smith,20,Male,Teacher,"$85,614 ",No,No,Nintendo,Sports,Challenge,4,182,5,17,3,16,82,61,77
10070,Sophia Green,30,Female,Engineer,"$89,200 ",Yes,Yes,PC,Survival,Competition,8,927,11,11,38,47,92,17,30
10071,Levi Moore,20,Male,Engineer,"$32,396 ",Yes,Yes,Nintendo,Sports,Escapism,9,168,9,70,17,73,15,88,79
10072,Stella Brown,31,Female,Artist,"$146,861 ",Yes,No,PlayStation,Strategy,Stress Relief,9,729,9,32,62,49,46,58,16
10073,Julian Anderson,32,Male,Designer,"$66,177 ",Yes,Yes,Nintendo,Horror,Stress Relief,10,714,9,33,99,43,32,96,87
10074,Grace Lee,28,Female,Other,"$130,042 ",Yes,No,PC,RPG,Escapism,1,327,6,79,22,2,94,13,78
10075,David Thompson,18,Male,Student,"$177,524 ",Yes,No,Xbox,Horror,Loneliness,8,896,9,37,21,82,40,1,70
10076,Owen Martin,22,Male,Student,"$22,878 ",No,Yes,PlayStation,Horror,Loneliness,8,852,6,45,63,54,84,43,64
10077,Aurora Carter,28,Female,Teacher,"$52,134 ",Yes,No,PC,RPG,Challenge,1,508,4,98,72,67,70,22,52
10078,Sebastian Perez,26,Male,Doctor,"$115,509 ",Yes,No,Xbox,RPG,Entertainment,11,742,10,48,97,90,27,13,72
10079,Hailey Walker,19,Female,Student,"$132,612 ",No,No,Cell Phone,Fighting,Loneliness,3,547,8,90,43,89,69,16,45
10080,Charles Wright,23,Male,Teacher,"$72,232 ",Yes,No,Xbox,RPG,Competition,6,834,6,82,58,74,54,69,12
10081,Zoe Mitchell,26,Female,Teacher,"$105,964 ",No,No,PlayStation,Sports,Escapism,10,513,6,29,15,84,12,61,34
10082,Jeremiah Phillips,20,Male,Lawyer,"$25,737 ",Yes,No,Cell Phone,Fighting,Habit,4,957,11,41,50,87,80,48,87
10083,Camla King,22,Female,Artist,"$176,245 ",Yes,Yes,PC,Strategy,Challenge,9,347,7,67,42,28,94,62,22
10084,Eli Rivera,25,Female,Writer,"$7,945 ",No,Yes,Tablet,Horror,Loneliness,5,58,5,88,64,43,24,52,15
10085,Nora Adams,24,Female,Developer,"$42,144 ",No,No,PC,FPS,Habit,4,355,5,77,84,28,68,46,67
10086,Sebastian Stewart,31,Male,Artist,"$152,315 ",Yes,No,Nintendo,RPG,Relaxation,7,521,8,33,68,65,47,65,45
10087,Addison Torres,34,Male,Lawyer,"$145,656 ",Yes,Yes,Cell Phone,Horror,Boredom,8,859,10,13,48,21,28,91,15
10088,Hunter White,21,Male,Lawyer,"$169,987 ",Yes,No,PC,MMORPG,Boredom,1,504,11,44,2,65,15,15,86
10089,Violet Sanchez,25,Female,Designer,"$91,691 ",Yes,Yes,PlayStation,Horror,Stress Relief,10,555,10,53,45,3,81,3,68
10090,Christian Hall,21,Other,Designer,"$168,469 ",Yes,Yes,Cell Phone,MOBA,Loneliness,8,152,8,10,6,44,57,70,7
10092,Adrian Young,33,Male,Student,"$52,542 ",No,No,Cell Phone,Fighting,Boredom,11,597,6,98,99,96,34,87,94
10093,Clara Mitchell,28,Female,Other,"$52,990 ",No,No,Nintendo,Survival,Competition,4,767,10,9,31,96,45,91,34
10094,Evan Roberts,19,Male,Nurse,"$121,365 ",No,Yes,PC,Horror,Relaxation,6,29,6,80,67,67,12,48,34
10095,Sophie Baker,28,Female,Student,"$118,186 ",Yes,Yes,Tablet,Sports,Stress Relief,3,121,4,65,94,97,39,26,44
10096,Thomas Harris,24,Male,Designer,"$139,907 ",Yes,No,PlayStation,FPS,Relaxation,1,162,10,98,53,39,88,77,82
10097,Jose Martinez,21,Other,Student,"$52,782 ",No,No,Nintendo,Survival,Stress Relief,11,199,7,7,75,50,47,67,59
10098,Adrian Young,29,Male,Lawyer,"$47,820 ",No,Yes,Nintendo,MOBA,Habit,9,457,6,12,34,76,27,37,84
10099,Clara Mitchell,22,Female,Designer,"$16,684 ",Yes,No,Cell Phone,FPS,Escapism,3,52,4,13,71,40,21,94,66
10100,Steven Rogers,25,Male,Artist,"$116,643 ",No,No,PlayStation,MMORPG,Relaxation,11,363,11,27,97,37,48,72,4
10101,Thomas Lewis,33,Male,Designer,"$188,647 ",Yes,No,PC,Survival,Challenge,5,541,8,95,39,88,10,70,17
10102,Lillian Clark,33,Female,Manager,"$97,873 ",No,Yes,Xbox,Strategy,Entertainment,9,968,6,28,21,35,12,64,40
10103,Julian Young,22,Male,Lawyer,"$154,302 ",No,No,PlayStation,Horror,Loneliness,3,166,5,6,49,79,32,74,44
10104,Ezra Lee,33,Other,Developer,"$185,484 ",Yes,No,Cell Phone,Fighting,Escapism,7,667,10,73,92,12,87,84,26
10105,Ellie Campbell,27,Female,Teacher,"$95,984 ",No,No,Cell Phone,Strategy,Social Interaction,11,162,8,63,35,87,49,84,51
10106,Jonathan Adams,34,Male,Lawyer,"$36,533 ",Yes,Yes,Tablet,Sports,Boredom,9,284,9,84,50,99,94,2,11
10107,Paisley Martinez,20,Female,Student,"$176,058 ",No,No,Xbox,FPS,Boredom,6,574,5,42,63,83,75,5,69
10109,Natasha Bell,29,Female,Other,"$149,019 ",No,Yes,PC,Fighting,Stress Relief,9,951,8,20,33,81,23,46,56
10110,Landon Roberts,28,Male,Doctor,"$145,707 ",Yes,Yes,PC,Survival,Challenge,1,385,9,36,16,80,59,53,22
10111,Brooklyn White,20,Male,Teacher,"$84,232 ",No,Yes,Nintendo,Fighting,Social Interaction,5,985,8,27,73,73,26,11,4
10112,Gabriel Lee,18,Male,Designer,"$193,837 ",Yes,Yes,PC,MMORPG,Challenge,5,307,8,29,33,60,98,90,71
10113,Avery Stewart,27,Female,Nurse,"$55,226 ",Yes,Yes,Xbox,Strategy,Loneliness,8,934,6,50,26,70,86,67,45
10114,Nicholas Sanchez,27,Other,Teacher,"$156,333 ",No,No,Tablet,Sports,Loneliness,8,67,9,99,72,24,80,80,88
10115,Audrey Thompson,33,Female,Lawyer,"$82,693 ",No,No,PlayStation,RPG,Loneliness,3,65,8,85,1,47,98,84,90
10116,Charles Allen,20,Male,Writer,"$150,439 ",No,No,Nintendo,RPG,Escapism,7,85,6,61,12,71,50,37,95
10117,Scarlett Nelson,21,Female,Teacher,"$182,081 ",No,No,Tablet,RPG,Competition,3,583,8,50,96,2,4,7,78
10118,Luke Martin,29,Male,Writer,"$191,173 ",Yes,Yes,Cell Phone,Racing,Habit,4,968,9,25,46,19,47,83,87
10119,Hannah Harris,34,Female,Developer,"$12,855 ",No,No,Nintendo,Horror,Stress Relief,3,287,6,5,18,35,14,99,19
10120,Cameron Torres,31,Female,Artist,"$53,759 ",No,No,Nintendo,FPS,Competition,7,235,5,80,6,58,13,93,97
10121,Stella Adams,32,Other,Other,"$39,222 ",Yes,Yes,Cell Phone,Strategy,Entertainment,8,334,5,64,61,2,88,39,34
10122,Logan Green,28,Male,Designer,"$157,972 ",No,Yes,Xbox,MOBA,Relaxation,8,122,5,24,81,77,99,97,50
10123,Leah Wright,33,Female,Artist,"$3,615 ",Yes,Yes,PC,Sports,Habit,2,387,9,80,51,66,45,41,66
10124,Aiden Gonzalez,27,Male,Designer,"$47,399 ",No,No,Tablet,MOBA,Social Interaction,3,494,11,13,77,4,42,70,52
10125,Harper Walker,30,Female,Designer,"$164,576 ",Yes,No,Nintendo,MMORPG,Stress Relief,8,67,6,7,83,59,78,92,46
10126,Isaac Walker,19,Other,Writer,"$10,294 ",No,No,Cell Phone,Horror,Boredom,3,811,10,82,5,10,82,25,66
10127,Zoe Phillips,28,Female,Artist,"$105,339 ",No,No,Cell Phone,Strategy,Social Interaction,10,909,8,73,16,33,37,54,70
10128,Jackson King,18,Male,Doctor,"$192,474 ",Yes,No,Cell Phone,Survival,Social Interaction,10,569,11,70,63,53,42,46,24
10129,Amellia Ortiz,25,Female,Student,"$64,297 ",Yes,No,PlayStation,Survival,Stress Relief,6,805,4,40,16,64,77,8,27
10130,Wyatt Ramos,26,Male,Other,"$26,323 ",Yes,Yes,Tablet,Fighting,Loneliness,11,517,8,50,94,22,74,9,24
10131,Olivia Kelly,20,Female,Teacher,"$98,413 ",No,Yes,Cell Phone,FPS,Relaxation,6,882,9,31,8,30,84,86,78
10132,Alexander Regan,21,Male,Doctor,"$3,462 ",Yes,Yes,Xbox,Horror,Entertainment,5,738,7,85,26,20,56,82,69
10133,Lily Quin,20,Female,Student,"$187,553 ",No,No,Cell Phone,MMORPG,Stress Relief,3,213,10,23,80,35,35,90,68
10134,Ryan Murray,30,Male,Lawyer,"$85,494 ",No,Yes,Tablet,MOBA,Entertainment,2,443,11,51,63,35,10,45,34
10135,Liam Smith,26,Male,Engineer,"$134,785 ",Yes,No,Cell Phone,Survival,Stress Relief,8,96,8,98,23,20,40,41,89
10136,Emma Johnson,27,Female,Developer,"$154,765 ",Yes,No,Xbox,MOBA,Habit,9,968,10,48,68,97,60,69,60
10137,Noah Williams,18,Male,Developer,"$46,530 ",Yes,No,Tablet,Sports,Loneliness,5,291,5,41,25,33,34,9,96
10138,Ava Brown,31,Female,Writer,"$199,724 ",No,No,Nintendo,MOBA,Relaxation,11,820,9,4,33,92,75,65,76
10139,Olivia Jones,30,Female,Teacher,"$36,945 ",No,No,Tablet,MOBA,Competition,7,941,11,72,20,72,3,21,95
10140,Isabella Garcia,23,Female,Doctor,"$28,054 ",No,No,Nintendo,RPG,Relaxation,6,477,8,19,51,73,72,95,57
10141,Elijah Martinez,21,Female,Doctor,"$93,797 ",No,Yes,PC,Racing,Loneliness,10,912,4,7,77,36,2,58,46
10142,Sophia Hernandez,33,Female,Lawyer,"$33,404 ",No,No,PlayStation,MMORPG,Relaxation,10,612,11,70,42,23,77,34,3
10143,Lucas Lee,29,Male,Designer,"$112,562 ",Yes,No,PlayStation,RPG,Escapism,10,471,4,17,66,27,22,48,89
10145,Mason Rodriquez,28,Male,Engineer,"$56,018 ",No,No,Xbox,MMORPG,Entertainment,1,846,11,33,86,11,11,48,18
10146,Mia Wilson,32,Female,Designer,"$50,746 ",No,No,Tablet,Fighting,Loneliness,11,728,6,20,44,92,52,51,96
10147,Ethan Anderson,33,Other,Nurse,"$187,295 ",Yes,Yes,Tablet,Survival,Entertainment,7,123,11,46,78,27,49,75,77
10148,Charlotte  Thomas,27,Other,Developer,"$75,899 ",No,Yes,Cell Phone,Strategy,Loneliness,9,336,11,5,16,17,80,58,83
10149,James Moore,22,Other,Artist,"$96,872 ",No,No,PC,Racing,Habit,6,557,11,9,14,18,13,48,47
10150,Harper Martin,23,Female,Nurse,"$61,917 ",Yes,Yes,Xbox,Horror,Habit,4,137,4,75,97,72,54,68,34
10151,Benjamin Jackson,29,Male,Manager,"$37,583 ",No,No,PlayStation,Sports,Boredom,7,800,6,52,3,4,67,37,20
10152,Evelyn Nojan,31,Female,Artist,"$150,568 ",Yes,No,Tablet,Survival,Social Interaction,4,946,8,84,57,95,37,20,49
10153,Henry White,28,Other,Teacher,"$87,923 ",Yes,Yes,PlayStation,Survival,Habit,1,487,5,60,95,14,34,82,35
10154,Layla Nguyen,19,Female,Writer,"$11,179 ",Yes,Yes,Cell Phone,Fighting,Habit,3,514,8,98,10,45,48,76,55
10155,Lily Chen,26,Female,Engineer,"$99,763 ",No,No,Cell Phone,FPS,Entertainment,10,616,10,34,7,89,9,96,2
10156,Logan Jackson,30,Female,Engineer,"$150,061 ",No,Yes,Cell Phone,Survival,Boredom,5,933,7,18,23,75,49,99,81
10157,Scarlett Johnson,31,Female,Doctor,"$45,199 ",Yes,Yes,Xbox,Survival,Stress Relief,3,396,10,50,20,22,6,78,2
10158,Carla O'Dwyer,24,Male,Doctor,"$36,203 ",Yes,Yes,Nintendo,Racing,Loneliness,7,47,5,19,11,25,29,22,41
10159,Grace Loughlin,18,Female,Student,"$44,137 ",Yes,Yes,PC,MOBA,Stress Relief,6,373,4,6,33,29,50,93,33
10160,Michael McGrath,33,Male,Teacher,"$183,817 ",No,No,PlayStation,MOBA,Competition,10,992,8,70,18,94,33,74,92
10161,Chloe Clancy,27,Female,Developer,"$32,481 ",No,No,Tablet,MMORPG,Competition,3,745,6,14,46,57,43,47,89
10162,Jackson Treacy,19,Male,Nurse,"$130,678 ",Yes,No,Nintendo,Sports,Challenge,8,926,9,79,45,63,60,94,89
10163,Zoe Hill,27,Other,Manager,"$123,777 ",Yes,Yes,Xbox,Horror,Challenge,1,600,10,20,67,41,93,15,63
10164,Jack Scott,24,Male,Student,"$103,133 ",Yes,No,Xbox,Survival,Relaxation,5,512,4,2,16,32,18,99,75
10165,Riley Green,28,Female,Artist,"$118,353 ",No,Yes,Cell Phone,MMORPG,Loneliness,9,142,7,28,83,28,16,52,61
10166,Ayden Murphy,27,Male,Artist,"$82,088 ",No,No,Cell Phone,Strategy,Habit,7,222,4,56,2,82,97,41,33
10167,Aria Baker,25,Other,Teacher,"$65,300 ",No,Yes,PlayStation,MMORPG,Challenge,10,723,4,91,20,199,18,47,14
10168,Samuel Gonzalez,26,Other,Teacher,"$196,804 ",Yes,Yes,Nintendo,Fighting,Loneliness,8,887,6,50,64,55,98,72,6
10169,Ellie Nelson,19,Other,Artist,"$47,117 ",Yes,No,Xbox,Racing,Social Interaction,11,96,7,41,74,26,92,56,51
10170,Alejandro Carter,33,Male,Nurse,"$69,974 ",No,No,PlayStation,Survival,Competition,2,805,11,36,17,17,86,47,46
10171,Matthew Perez,32,Male,Lawyer,"$34,438 ",Yes,No,Xbox,Fighting,Entertainment,4,130,5,72,8,30,54,61,39
10172,Juan Roberts,23,Other,Lawyer,"$42,706 ",Yes,Yes,PC,Survival,Social Interaction,2,822,10,52,6,89,43,26,61
10173,Mila Prat,24,Other,Writer,"$84,473 ",Yes,Yes,Cell Phone,Survival,Loneliness,5,86,9,79,2,87,90,6,12
10174,Ava Kone,23,Female,Artist,"$155,015 ",Yes,Yes,Tablet,Fighting,Stress Relief,10,584,8,15,25,20,7,16,24
10175,Joseph Adams,34,Male,Artist,"$23,611 ",No,Yes,Xbox,Sports,Habit,7,38,5,51,11,33,17,51,49
10176,Nora He,26,Female,Artist,"$18,578 ",Yes,No,Cell Phone,Survival,Relaxation,2,996,4,59,1,94,93,25,32
10177,Lucas Sheridan,20,Male,Nurse,"$178,081 ",Yes,Yes,Nintendo,RPG,Social Interaction,11,570,8,8,12,10,91,3,95
10178,Ethan Gleeson,29,Male,Other,"$183,655 ",No,Yes,Xbox,Strategy,Competition,3,703,11,93,72,48,48,30,13
10179,Leo Ponce,18,Other,Student,"$175,360 ",Yes,No,Nintendo,Racing,Boredom,6,343,10,95,5,70,39,46,79
10180,Emma Rios,23,Female,Engineer,"$124,850 ",Yes,Yes,Nintendo,Survival,Relaxation,1,296,6,80,27,10,28,76,22
10181,Mia Rivera,20,Female,Engineer,"$61,546 ",Yes,No,PC,Racing,Escapism,9,901,7,16,88,27,1,60,17
10182,Mason Smith,23,Other,Student,"$27,437 ",Yes,Yes,Nintendo,RPG,Social Interaction,7,204,5,93,3,70,97,79,97
10183,Issac Johnson,31,Other,Doctor,"$100,429 ",Yes,No,PlayStation,Racing,Escapism,11,285,10,31,60,17,56,16,88
10184,Ella  Montoya,20,Other,Manager,"$15,151 ",Yes,Yes,Xbox,FPS,Escapism,5,756,8,8,63,4,79,5,2
10185,Aubrey Serrano,31,Male,Manager,"$112,640 ",No,No,PlayStation,Racing,Social Interaction,3,431,6,12,43,89,88,92,46
10186,Matthew Sweeney,30,Other,Nurse,"$22,639 ",No,Yes,Nintendo,Racing,Competition,7,736,8,53,83,6,41,80,8
10187,Daniel Whelan,18,Other,Student,"$149,711 ",Yes,Yes,Nintendo,MOBA,Competition,2,252,9,25,68,99,80,46,56
10188,Chloe Brady,29,Female,Manager,"$24,482 ",No,No,PC,RPG,Relaxation,7,193,10,66,22,68,72,38,17
10189,Addison Browne,34,Female,Artist,"$191,928 ",No,No,PlayStation,Fighting,Competition,6,405,9,89,2,86,67,97,11
10190,Sebastian Ronney,20,Other,Nurse,"$80,736 ",No,Yes,Nintendo,Survival,Competition,3,102,9,8,89,25,7,64,92
10191,Wyatt Tang,31,Other,Nurse,"$2,705 ",No,No,Cell Phone,Fighting,Habit,1,938,6,55,4,94,81,75,88
10192,Ellie Lee,25,Female,Other,"$28,917 ",No,No,Cell Phone,Fighting,Boredom,10,241,6,28,95,45,8,17,49
10193,Aria O'Dwyer,32,Female,Artist,"$183,800 ",Yes,Yes,Nintendo,MOBA,Stress Relief,6,15,11,78,93,78,38,68,18
10194,Samuel O'Conner,25,Other,Other,"$195,341 ",Yes,No,PC,RPG,Habit,4,511,5,77,33,28,82,84,27
10195,David Tracy,34,Male,Manager,"$147,350 ",Yes,No,PC,Racing,Challenge,2,872,4,95,64,60,27,10,52
10196,Mila Choi,27,Female,Doctor,"$56,527 ",Yes,Yes,PlayStation,Horror,Loneliness,8,501,10,25,97,92,91,71,16
10197,Gabriel Kang,19,Male,Engineer,"$165,048 ",No,Yes,Cell Phone,Horror,Habit,7,204,8,93,98,9,61,99,96
10198,Julian Castro,20,Other,Student,"$9,168 ",Yes,Yes,Xbox,Sports,Boredom,11,54,6,33,98,80,15,23,98
10199,Owen Smith,31,Other,Writer,"$104,008 ",Yes,No,PC,RPG,Challenge,9,567,4,81,55,81,8,57,99
10200,Piper Ronney,30,Female,Nurse,"$111,319 ",No,Yes,Xbox,RPG,Challenge,10,965,5,83,21,39,88,47,92
10201,Hazel Morales,31,Female,Nurse,$206 ,Yes,Yes,PlayStation,Survival,Entertainment,10,717,5,68,58,53,63,79,43
10202,Luke Ramos,18,Male,Lawyer,"$143,475 ",No,Yes,Cell Phone,Horror,Competition,2,689,9,69,57,70,62,18,22
10203,Violet Cooper,27,Female,Writer,"$118,748 ",No,Yes,Tablet,RPG,Relaxation,3,92,9,8,87,60,94,83,50
10204,Jose Flores,24,Other,Doctor,"$22,980 ",No,No,Xbox,Fighting,Boredom,3,80,8,2,32,1,53,72,2
10205,Violet Vargas,25,Female,Nurse,"$93,376 ",Yes,Yes,Xbox,Strategy,Loneliness,4,947,8,73,71,11,66,61,24
10206,Maria Chavez,24,Other,Writer,"$121,850 ",Yes,Yes,PC,MMORPG,Competition,4,540,11,1,26,38,24,62,78
10207,Julian Herrera,30,Male,Artist,"$52,655 ",Yes,Yes,Cell Phone,Strategy,Social Interaction,4,474,7,68,47,12,8,6,28
10208,Lucy Ortiz,26,Female,Lawyer,"$53,711 ",No,Yes,Cell Phone,Strategy,Loneliness,7,62,6,91,36,19,99,62,93
10209,Victoria Croxx,25,Other,Nurse,"$123,131 ",Yes,Yes,Xbox,RPG,Challenge,11,472,11,86,30,83,46,47,58
